"sampleID","protocolID","organizationID","contactID","siteID","purpose","saMaterial","datasetID","origin","repType","collType","collPer","collNum","pooled","collDT","collDTStart","collDTEnd","sentDate","recDate","reportable","lastEdited","notes"
"o.01.06.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-06",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.06.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-06",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.06.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-06",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.06.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-06",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.06.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-06",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.07.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-07",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.07.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-07",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.07.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-07",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.07.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-07",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.07.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-07",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.08.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-08",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.08.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-08",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.08.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-08",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.08.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-08",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.08.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-08",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.09.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-09",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.09.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-09",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.09.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-09",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.09.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-09",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.09.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-09",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.10.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-10",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.10.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-10",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.10.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-10",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.10.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-10",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.10.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-10",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.11.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-11",NA,NA,"NR","NR",TRUE,2024-02-05,NA
"o.01.11.22",NA,"Ottawa-1","delatollaLab","Ottawa-1","testing","pSludge","Ottawa-1","field","unique","timePr",24,24,FALSE,"2022-01-11",NA,NA,"NR","NR",TRUE,2024-02-05,NA
